id,representation_2024,representation_2026,minimum_representation,classification
7719,0,0.5,0,Excluded from both; 2026 only
7720,0,0.4625,0,Excluded from both; 2026 only
7721,0,0.425,0,Excluded from both; 2026 only
7722,0,0.425,0,Excluded from both; 2026 only
7723,0,0.4,0,Excluded from both; 2026 only
7724,0,0.4,0,Excluded from both; 2026 only
7725,0,0.4,0,Excluded from both; 2026 only
7726,0,0.3375,0,Excluded from both; 2026 only
7727,0,0.35,0,Excluded from both; 2026 only
7728,0,0.35,0,Excluded from both; 2026 only
7729,0,0.3125,0,Excluded from both; 2026 only
7730,0,0.2625,0,Excluded from both; 2026 only
7731,0,0.2625,0,Excluded from both; 2026 only
6380,1,0.1,0.1,Retained in 2024 only
7284,0.20689655172413793,0.95,0.20689655172413793,Retained in 2026 only
7290,0.20689655172413793,0.9625,0.20689655172413793,Retained in 2026 only
7254,1,0.25,0.25,Retained in 2024 only
6868,0.27586206896551724,1,0.27586206896551724,Retained in 2026 only
7102,0.27586206896551724,1,0.27586206896551724,Retained in 2026 only
7206,1,0.3125,0.3125,Retained in 2024 only
6870,1,0.35,0.35,Retained in 2024 only
7219,1,0.3875,0.3875,Retained in 2024 only
7281,1,0.4,0.4,Retained in 2024 only
6342,0.41379310344827586,1,0.41379310344827586,Retained in 2026 only
7130,0.4482758620689655,1,0.4482758620689655,Retained in 2026 only
6326,1,0.6,0.6,Retained in 2024 only
7111,1,0.6125,0.6125,Retained in 2024 only
6647,1,0.6375,0.6375,Retained in 2024 only
7005,1,0.65,0.65,Retained in 2024 only
6683,0.6551724137931034,1,0.6551724137931034,Retained in 2026 only
6877,1,0.7,0.7,Retained in 2024 only
7070,1,0.75,0.75,Retained in 2024 only
6764,1,0.7625,0.7625,Retained in 2024 only
6642,1,0.8,0.8,Retained in both
6824,1,0.8,0.8,Retained in both
7136,1,0.8125,0.8125,Retained in both
6844,1,0.825,0.825,Retained in both
6933,1,0.825,0.825,Retained in both
7200,1,0.825,0.825,Retained in both
6780,0.8275862068965517,1,0.8275862068965517,Retained in both
7128,0.8275862068965517,1,0.8275862068965517,Retained in both
6929,1,0.85,0.85,Retained in both
7129,0.8620689655172413,1,0.8620689655172413,Retained in both
7158,0.8620689655172413,1,0.8620689655172413,Retained in both
6358,1,0.875,0.875,Retained in both
6400,1,0.875,0.875,Retained in both
6526,1,0.875,0.875,Retained in both
6619,1,0.875,0.875,Retained in both
6829,1,0.875,0.875,Retained in both
6335,1,0.8875,0.8875,Retained in both
